station,distance_km,azimuth_deg,takeoff_deg,polarity,predicted_polarity,amplitude_sign_value,fit
TWC,15.8,248.0,167.0,+,+,0.2010999140399746,True
ESA,18.9,239.0,164.0,+,+,0.25429632863008633,True
TUIB,20.6,348.0,157.0,+,+,0.011384182761904893,True
EGS,20.9,349.0,156.0,+,+,0.008431209112697846,True
ILA,27.5,303.0,145.0,+,+,0.5017130609270102,True
NTC,27.6,329.0,145.0,+,+,0.23636251607317618,True
NDS,29.3,264.0,156.0,+,+,0.5351756780436642,True
EWT,33.2,219.0,148.0,+,+,0.45278875215730663,True
TWE,33.2,289.0,142.0,+,+,0.6607448878742128,True
EOS2,35.6,139.0,139.0,-,-,-0.8868979272171926,True
ENA,36.8,217.0,140.0,+,+,0.5534267579194165,True
TWB1,38.2,354.0,145.0,+,+,0.004974027333935288,True
TIPB,38.9,331.0,132.0,+,+,0.1926343132213456,True
FUSB,43.7,293.0,131.0,+,+,0.6359245630844574,True
NSG,43.7,331.0,131.0,+,+,0.18664168443295864,True
ENT,43.8,270.0,141.0,+,+,0.8148592938674063,True
EAH,45.6,207.0,129.0,+,+,0.4812434449198826,True
SXI1,49.7,334.0,123.0,+,+,0.09764168445388699,True
NDT,50.3,270.0,127.0,+,+,0.8904281540955828,True
LATB,50.5,246.0,128.0,+,+,0.9844150537803287,True
WFSB,50.7,333.0,132.0,+,+,0.17432100912261295,True
A124,51.0,304.0,127.0,+,+,0.46080202231832956,True
EOS3,52.5,143.0,125.0,-,-,-0.8768553891051873,True
TWA,54.6,317.0,126.0,+,+,0.2868687195057038,True
NHDH,58.8,311.0,124.0,+,+,0.3354447683728673,True
NOU,58.9,336.0,128.0,+,+,0.12461658575481543,True
NXZ,59.0,321.0,123.0,+,+,0.20803192577419144,True
DYSB,63.4,292.0,123.0,+,+,0.5860992990397585,True
YHNB,63.8,271.0,108.0,+,+,0.6571709483651497,True
NSK,64.7,271.0,108.0,+,+,0.6571709483651497,True
TAP,64.9,318.0,117.0,+,+,0.15172278820773222,True
NNS,67.9,242.0,121.0,+,+,0.9906147104352337,True
EOS4,68.0,160.0,115.0,-,-,-0.5773655443246251,True
NACB,68.1,209.0,116.0,+,+,0.5797954298475138,True
NNSB,68.2,241.0,121.0,+,+,0.9872865684004433,True
YM01,69.5,320.0,120.0,+,+,0.17777070588180943,True
NSX,71.0,302.0,120.0,+,+,0.4001317336431642,True
